,ghi_clipped_x
2020-06-23 18:17:00,62.925000000000004
2020-06-23 18:22:00,49.542500000000004
2020-06-23 18:27:00,50.19499999999999
2020-06-23 18:32:00,42.364999999999995
2020-06-23 18:37:00,35.037557428540346
2020-06-23 18:42:00,23.480547511759557
2020-06-24 08:12:00,270.6625
2020-06-24 08:17:00,289.365
2020-06-24 08:22:00,309.33500000000004
2020-06-24 08:27:00,329.4875
2020-06-24 08:32:00,345.895
2020-06-24 08:37:00,362.08500000000004
2020-06-24 08:42:00,380.3725
2020-06-24 08:47:00,398.08750000000003
2020-06-24 08:52:00,417.21500000000003
2020-06-24 08:57:00,436.0025
2020-06-24 09:02:00,454.26
2020-06-24 09:07:00,473.7525
2020-06-24 09:12:00,492.1175
2020-06-24 09:17:00,507.22749999999996
2020-06-24 09:22:00,525.8825
2020-06-24 09:27:00,550.6700000000001
2020-06-24 09:32:00,566.5550000000001
2020-06-24 09:37:00,578.0124999999999
2020-06-24 09:42:00,592.985
2020-06-24 09:47:00,606.2974999999999
2020-06-24 09:52:00,625.7475
2020-06-24 09:57:00,642.3149999999999
2020-06-24 10:02:00,654.6825
2020-06-24 10:07:00,674.535
2020-06-24 10:12:00,681.5725
2020-06-24 10:17:00,691.8149999999999
2020-06-24 10:22:00,700.415
2020-06-24 10:27:00,715.1375
2020-06-24 10:32:00,728.115
2020-06-24 10:37:00,742.2475
2020-06-24 10:42:00,755.5775
2020-06-24 10:47:00,762.355
2020-06-24 10:52:00,776.13
2020-06-24 10:57:00,792.7885569883084
2020-06-24 11:02:00,796.8023811384479
2020-06-24 11:07:00,800.5888615272424
2020-06-24 11:12:00,804.1545739148958
2020-06-24 11:17:00,807.5056351534305
2020-06-24 11:22:00,810.6477304550396
2020-06-24 11:27:00,813.5861313751258
2020-06-24 11:32:00,816.3257190262691
2020-06-24 11:37:00,818.8709991354017
2020-06-24 11:42:00,821.226121376927
2020-06-24 11:47:00,823.3948934307325
2020-06-24 11:52:00,825.380794171377
2020-06-24 11:57:00,827.186988343521
2020-06-24 12:02:00,828.8163359523679
2020-06-24 12:07:00,830.2714045994202
2020-06-24 12:12:00,831.5544770246221
2020-06-24 12:17:00,832.6675608386435
2020-06-24 12:22:00,833.6123941176508
2020-06-24 12:27:00,834.3904521433041
2020-06-24 12:32:00,835.0029509765285
2020-06-24 12:37:00,835.4508497726715
2020-06-24 12:42:00,835.7348521359775
2020-06-24 12:47:00,835.8554052223811
2020-06-24 12:52:00,835.8126991162649
2020-06-24 12:57:00,835.6066661049389
2020-06-24 13:02:00,835.2369808570268
2020-06-24 13:07:00,834.7030615049465
2020-06-24 13:12:00,834.0040701180166
2020-06-24 13:17:00,833.1389125814152
2020-06-24 13:22:00,832.1062373772353
2020-06-24 13:27:00,830.9044313711129
2020-06-24 13:32:00,829.5316159787313
2020-06-24 13:37:00,827.985639516324
2020-06-24 13:42:00,826.2640710556542
2020-06-24 13:47:00,824.3641899992284
2020-06-24 13:52:00,822.2829780549984
2020-06-24 13:57:00,820.0171065267269
2020-06-24 14:02:00,817.5629248299479
2020-06-24 14:07:00,814.9164482419998
2020-06-24 14:12:00,812.0733408960166
2020-06-24 14:17:00,809.0289026107143
2020-06-24 14:22:00,805.7780483538174
2020-06-24 14:27:00,802.3152924537831
2020-06-24 14:32:00,668.6899999999999
2020-06-24 14:37:00,629.8
2020-06-24 14:42:00,611.1925
2020-06-24 14:47:00,770.6125000000001
2020-06-24 14:52:00,771.735
2020-06-24 14:57:00,763.9225
2020-06-24 15:02:00,752.4875
2020-06-24 15:07:00,740.6800000000001
2020-06-24 15:12:00,733.8025
2020-06-24 15:17:00,714.9549999999999
2020-06-24 15:22:00,702.7375
2020-06-24 15:27:00,688.1775
2020-06-24 15:32:00,676.9175
2020-06-24 15:37:00,658.265
2020-06-24 15:42:00,641.9725000000001
2020-06-24 15:47:00,626.425
2020-06-24 15:52:00,602.9675
2020-06-24 15:57:00,592.6825
2020-06-24 16:02:00,578.14
2020-06-24 16:07:00,561.575
2020-06-24 16:12:00,541.015
2020-06-24 16:17:00,517.0849999999999
2020-06-24 16:22:00,505.9625
2020-06-24 16:27:00,470.9975
2020-06-24 16:32:00,450.94
